Barrett, Joseph John
Bars, Itzhak
Barsch, Gerhard R.
Bartels, Randy A.
Bartelt, Norman Charles
Bartlett, Albert Allen
Bartlett, Rodney Joseph
Bartschat, Klaus Richard
Barty, Christopher P.J.
Bartynski, Robert Allen
Baruch, Pierre
Barwick, Steven W.
Barzi, Emanuela
Basaran, Osman A.
Basbas, George J.
Bashir, Rashid
Baskerville-Bridges, Frank George
Basov, Dmitri N.
Basov, Nicolay G.
Bass, Steffen A.
Bassler, Kevin E.
Bastard, Gerald
Batchelor, Donald B.
Batelaan, Herman
Bateman, Glenn
Bates, Frank S.
Bates, John Bryant
Batista, Cristian D.
Batlle, Xavier
Batlogg, Bertram
Batrouni, Ghassan
Batson, Philip Edward
Bauer, Daniel
Bauer, Ernst G.
Bauer, Gerrit E.
Bauer, Gunther
Bauer, Robert Steven
Bauer, Wolfgang W.
Baum, Guenter G.
Baur, Ulrich
Bayer, Manfred
Baylis, William Eric
Beach, Raymond J.
Beacom, John F.
Beamish, John
Bean, Alice
Beane, Silas
Beard, Matthew C.
Beasley, Malcolm R.
Beason, James Douglas
Beatty, James J.
Beaucage, Gregory
Beausoleil, Raymond
Bebek, Christopher John
Becchetti, Frederick Daniel
Bechert, Dietrich Wolfgang
Bechhoefer, John L.
Beck, Donald R.
Beck, Douglas H.
Becker, Kurt H.
Becker, Ulrich J.
Becker, Uwe Eugen
Bedaque, Paulo
Bedeaux, Dick
Bedell, Kevin Shawn
Bednorz, J. Georg
Bedzyk, Michael J.
Beene, James Robert
Beg, Farhat N.
Behnia, Kamran
Behringer, Robert Paul
Beichner, Robert John
Beier, Eugene William
Beiersdorfer, Peter
Beise, Elizabeth J.
Belanger, David Peter
Belcher, John
Belczynski, Krzysztof
Belitz, Dietrich
Belk, John H.
Belkacem, Ali
Bell, Kenneth Lloyd
Bell, Michael George
Bellaiche, Laurent
Bellan, Paul Murray
Bellettini, Giorgio
Beltram, Fabio
Belyanin, Alexey
ben-Avraham, Daniel
Ben-Itzhak, Itzik
Ben-Jacob, Eshel
Ben-Naim, Eli
Ben-Zvi, Ilan
Bender, Carl M.
Bendler, John Thomas
Benesch, William M
Benford, Gregory
Benioff, Paul
Benjamin, Ilan
Benka, Stephen G.
Bennett, Brian
Bennett, Charles Henry
Bennett, Charles L.
Bennett, David
Bennett, Herbert Stanton
Bennett, Peter A
Benson, David J.
Benson, Stephen Vincent
Benz, Samuel
Beratan, David Nathan
Berg, Bernd A.
Berg, Howard C.
Berg, Mark Alan
Bergeman, Thomas Harold
Berger, Beverly K.
Berger, Claire
Berger, Robert Lewis
Bergman, David J.
Bergmann, Gerd
Bergmann, Klaas
Bergou, Janos
Bergquist, James Charles
Berker, A. Nihat
Berkner, Klaus Hans
Berkner, Klaus Hans
Berkowitz, Ami Emanuel
Berkowitz, Max L.
Berlinsky, A. John
Berman, Gennady P.
Berman, Michael
Berman, Paul R.
Bern, Zvi
Bernabei, Stephano
Bernard, Claude
Bernard, Peter Simon
Bernatowicz, Thomas James
Bernhardt, Paul Allan
Bernheim, Robert Allan
Bernholc, Jerry
Bernius, Mark T.
Bernstein, Elliot R.
Bernstein, Herbert J
Bernstein, Robert Howard
Bernthal, Frederick Michael
Berrah, Nora
Berry, Brian Shephard
Berry, Guy C.
Berry, Henry G.
Bertschinger, Edmund
Bertulani, Carlos A.
Berz, Martin
Besenbacher, Flemming
Bethune, Donald Stimson
Betti, Riccardo
Betts, R. Russell
Bevk, Joze
Beyea, Jan E.
Beyster, J. Robert
Bezrukov, Sergey M.
Bezryadin, Alexey
Bhat, Pushpalatha
Bhatia, Anand Kumar
Bhatnagar, Ved Prakash
Bhatt, Ravindra N.
Bhattacharjee, Amitava
Bhattacharya, Pallab
Bhattacharya, Sabyasachi
Bialek, William Samuel
Bicerano, Jozef
Biedron, Sandra G.
Biefeld, Robert M
Biegelsen, David Kalman
Biferale, Luca
Bigelow, Nicholas P.
Bigi, Ikaros I
Bilderback, Donald H.
Bildsten, Lars
Bilek, Marcela M.
Bilger, Robert William
Billinge, Roy
Billinge, Simon John Laird
Bilz, Heinz
Bimberg, Dieter H
Bingham, Carrol Reid
Bingham, Robert
Birge, Norman Owen
Birmingham, Thomas J.
Birse, Michael
Bishai, Mary R.
Bishop, Alan Reginald
Bishop, David John
Bishop, Raymond Francis
Bisognano, Joseph John
Biswas, Rana
Bitter, Manfred
Bjorklund, Gary Carl
Black, Charles T.
Blackman, Eric G.
Blackmon, Jeffrey C.
Blackwelder, Ronald E.
Blackwell, John
Blair, David G.
Blaisten-Barojas, Estela Olga
Blandford, Roger
Blaskiewicz, Michael
Blatt, Rainer
Blatter, Johann (Gianni) W.
Blaum, Klaus
Blazey, Gerald Charles
Bless, Stephen
Blick, Robert H.
Block, Steven
Blondin, John M.
Bloom, Elliott Daniel
Bloomfield, Louis Aub
Blucher, Edward Charles
Blum, Lesser
Blumberg, Girsh
Blume, Doerte
Blumel, Reinhold
Blythe, Philip A.
Bockstaller, Michael R.
Bodek, Arie
Bodenhausen, Geoffrey
Bodenschatz, Eberhard
Bodner, Stephen E.
Bodwin, Geoffrey Thomas
Boebinger, Gregory Scott
Boettger, Jonathan C.
Boggess, Jr, Thomas F.
Boggs, Steven E.
Boghosian, Bruce Michael
Bohn, John L
Bohnen, Klaus
Bohr, Tomas
Bokor, Jeffrey
Bol, Kees
Boldyrev, Stanislav A.
Bollen, Georg
Bollinger, John J.
Bond, J. Richard
Bondybey, Vladimir E
Boninsegni, Massimo
Bonitz, Michael
Bonn, Douglas
Bonnecaze, Roger T.
Bonoli, Paul Thaddeus
Boolchand, Punit
Booske, John
Booth, Corwin H.
Borchers, Julie Ann
Borguet, Eric
Borland, Michael
Boronat, Jordi
Borsa, Ferdinando
Bortoletto, Daniela
Boshier, Malcolm G.
Boswell, Roderick William
Bottcher, Christopher
Bourne, Neil K.
Bousso, Raphael
Bouyer, Philippe
Bowen, Kit Hansell, Jr.
Bower, Robert W.
Bowers, John Edward
Bowers, Michael Thomas
Bowick, Mark John
Bowles, Thomas Joseph
Bowman, J. David
Bowman, Joel Mark
Boyce, James B.
Boyd, Iain D.
Boyd, Richard H.
Boyd, Richard Nelson
Boyd, Robert William
Boyer, Larry Lee
