A Discriminative Framework For Bilingual Word Alignment,0.0204793237618
Decoding Complexity In Word-Replacement Translation Models,0.0204766420177
Loosely Tree-Based Alignment For Machine Translation,0.0203952464738
Re-Evaluation The Role Of Bleu In Machine Translation Research,0.0200653427997
A Discriminative Matching Approach To Word Alignment,0.019842763197
Forest-based Translation Rule Extraction,0.01976583344
Lattice-based Minimum Error Rate Training for Statistical Machine Translation,0.0197277610663
A Maximum Entropy Word Aligner For Arabic-English Machine Translation,0.0196613785193
Findings of the 2011 Workshop on Statistical Machine Translation,0.0195428354361
Learning to Translate with Source and Target Syntax,0.0193043244453
Learning Dependency Translation Models As Collections Of Finite-State Head Transducers,0.0189650741488
Arabic Preprocessing Schemes For Statistical Machine Translation,0.0187964878313
Bayesian Learning of Non-Compositional Phrases with Synchronous Parsing,0.0187496452579
Improving Statistical Machine Translation Using Word Sense Disambiguation,0.0187450491456
Discriminative Reordering Models For Statistical Machine Translation,0.0187193165352
Generalizing Word Lattice Translation,0.018541054595
Optimizing Chinese Word Segmentation for Machine Translation Performance,0.0184336985824
Parallel Implementations of Word Alignment Tool,0.0184322298833
ORANGE: A Method For Evaluating Automatic Evaluation Metrics For Machine Translation,0.0180809745897
Automatic Evaluation Of Summaries Using N-Gram Co-Occurrence Statistics,0.0180490208896
Log-Linear Models For Word Alignment,0.01772724315
Word Sense Disambiguation Improves Statistical Machine Translation,0.0177215976898
A Comparative Study On Reordering Constraints In Statistical Machine Translation,0.0175010546541
Combining Outputs from Multiple Machine Translation Systems,0.0174886021883
Minimum Risk Annealing For Training Log-Linear Models,0.0172956277207
Monolingual Machine Translation For Paraphrase Generation,0.0172461463665
Why Generative Phrase Models Underperform Surface Heuristics,0.0172294531281
Automatic Identification Of Word Translations From Unrelated English And German Corpora,0.0171380859874
Batch Tuning Strategies for Statistical Machine Translation,0.0169717709206
Sampling Alignment Structure under a Bayesian Translation Model,0.0168259290036
Findings of the 2010 Joint Workshop on Statistical Machine Translation and Metrics for Machine Translation,0.0166847431804
The Web As A Parallel Corpus,0.0165754895956
Non-Projective Dependency Parsing Using Spanning Tree Algorithms,0.0165623131395
Fast Decoding And Optimal Decoding For Machine Translation,0.0165513660662
Manual And Automatic Evaluation Of Machine Translation Between European Languages,0.0164513716526
CoNLL-X Shared Task On Multilingual Dependency Parsing,0.0163688271684
Morphological Analysis For Statistical Machine Translation,0.0162740174765
An Evaluation Exercise For Word Alignment,0.0160242235746
Hierarchical Phrase-Based Translation with Suffix Arrays,0.0159910052608
Soft Syntactic Constraints For Word Alignment Through Discriminative Training,0.0158452271604
METEOR: An Automatic Metric for MT Evaluation with High Levels of Correlation with Human Judgments,0.0158401989412
Inversion Transduction Grammar for Joint Phrasal Translation Modeling,0.0158277443831
Using a Dependency Parser to Improve SMT for Subject-Object-Verb Languages,0.0158173142727
Improved Word-Level System Combination for Machine Translation,0.0157768811175
Lattice Minimum Bayes-Risk Decoding for Statistical Machine Translation,0.0156965941175
Further Meta-Evaluation of Machine Translation,0.015658887005
Learning To Paraphrase: An Unsupervised Approach Using Multiple-Sequence Alignment,0.0156583160062
A Probability Model To Improve Word Alignment,0.0155530497089
Improving Machine Translation Performance By Exploiting Non-Parallel Corpora,0.015410293791
Extracting Paraphrases From A Parallel Corpus,0.0152762143475
Local Phrase Reordering Models For Statistical Machine Translation,0.0149590598771
What Can Syntax-Based MT Learn from Phrase-Based MT?,0.0149583874664
Better Hypothesis Testing for Statistical Machine Translation: Controlling for Optimizer Instability,0.0149227899377
(Meta-) Evaluation of Machine Translation,0.0148980188491
An Efficient Method For Determining Bilingual Word Classes,0.0148421626373
A Discriminative Global Training Algorithm For Statistical MT,0.0147706138114
Semi-Supervised Training For Statistical Word Alignment,0.0147291817944
Tailoring Word Alignments to Syntactic Machine Translation,0.0146256605939
Findings of the 2012 Workshop on Statistical Machine Translation,0.0145164545111
A Systematic Comparison of Phrase-Based Hierarchical and Syntax-Augmented Statistical MT,0.0142442598014
